sid	school_name	display_name	nickname	alias	almanac_name	stubhub_name	cid	division_cid	location	head_coach	off_coord	def_coord	primary_color	alt_color	sec_color	rss_query	domain	domain_title	ncaawiki_url	official_url	active_state	show_poster	school_id	ncaa_catid	checked_out	checked_out_time	published
137	Columbia	Columbia	Lions	columbia	Columbia	Columbia	29	0	New York, NY				75B2DD	FFFFFF	000080						0	0	0	70	0	0000-00-00 00:00:00	1
138	Cornell	Cornell	Big Red	cornell	Cornell	Cornell	29	0	Ithaca, NY				b31b1b	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
139	Dartmouth	Dartmouth	Big Green	dartmouth	Dartmouth	Dartmouth	29	0	Hanover, NH				00693E	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
140	Davidson	Davidson	Wildcats	davidson	Davidson	Davidson	35	41	Davidson, NC				970213	FFFFFF	000000						0	0	0	70	0	0000-00-00 00:00:00	1
141	Dayton	Dayton	Flyers	dayton	Dayton	Dayton	62	0	Dayton, OH				b31b1b	000080							0	0	0	70	0	0000-00-00 00:00:00	1
142	Delaware	Delaware	Blue Hens	delaware	Delaware	Delaware	45	39	Newark, DE				003399	FFCC00							0	0	0	70	0	0000-00-00 00:00:00	1
143	Delaware State	Delaware State	Hornets	delawarestate	Delaware State	Delaware State	31	0	Dover, DE				75B2DD	FF0000							0	0	0	70	0	0000-00-00 00:00:00	1
144	Drake	Drake	Bulldogs	drake	Drake	Drake	66	40	Des Moines, IA				1560BD	FFFFFF	8B8589						0	0	0	70	0	0000-00-00 00:00:00	1
145	Duquesne	Duquesne	Dukes	duquesne	Duquesne	Duquesne	62	0	Pittsburgh, PA				27408B	CD0000							0	0	0	70	0	0000-00-00 00:00:00	1
146	Eastern Illinois	Eastern Illinois	Panthers	easternillinois	Eastern Illinois	Eastern Illinois	33	0	Charleston, IL				000000	6495ED	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
147	Eastern Kentucky	Eastern Kentucky	Colonels	easternkentucky	Eastern Kentucky	Eastern Kentucky	33	0	Richmond, KY				800000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
148	Eastern Washington	Eastern Washington	Eagles	easternwashington	Eastern Washington	Eastern Washington	24	0	Cheney, WA				CC3333	FFFFFF	000000						0	0	0	70	0	0000-00-00 00:00:00	1
149	Elon	Elon	Phoenix	elon	Elon	Elon	35	0	Elon, NC				8B0000	C5B358							0	0	0	70	0	0000-00-00 00:00:00	1
150	Florida A&M	Florida A&M	Rattlers	floridaam	Florida A&M	Florida A&M	31	0	Tallahassee, FL				FF7F00	355E3B							0	0	0	70	0	0000-00-00 00:00:00	1
152	Furman	Furman	Paladins	furman	Furman	Furman	35	0	Greenville, SC				32127A	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
153	Gardner-Webb	Gardner-Webb	Runnin' Bulldogs	gardner-webb	Gardner-Webb	Gardner-Webb	25	0	Boiling Springs, NC				FF2400	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
